source_id,solution_id,teff1,teff2,logg1,logg2,azero,mh,distancepc,log_pos,log_lik
4111834567779557376,8013174454512009251,3815.1028,7706.3325,3.029636,3.5860748,1.3726755,0.34484917,196.62866,-14764.424,-14760.363
4111834567779557376,8013174454512009251,3869.6252,7034.8564,3.086614,4.076276,0.8589962,0.1029237,227.85579,-17988.002,-17988.041
4111834567779557376,8013174454512009251,3812.6282,7534.2896,3.0068345,3.900669,1.0782146,0.46762162,189.37495,-20096.87,-20092.695
4111834567779557376,8013174454512009251,3887.7627,7043.8916,3.1108932,4.015393,0.87417984,0.09208758,263.88364,-21604.53,-21603.355
4111834567779557376,8013174454512009251,3716.3982,7667.1343,3.1921482,3.7283661,1.37324,0.46678385,178.60722,-21561.184,-21556.576
4111834567779557376,8013174454512009251,3900.5425,7255.8564,2.9923615,3.979318,1.0157125,-0.49394345,190.58173,-15245.725,-15242.167
4111834567779557376,8013174454512009251,3789.3826,7761.101,2.9786048,3.6791017,1.0421771,0.47486663,205.24036,-16128.205,-16121.878
4111834567779557376,8013174454512009251,3839.17,7856.146,3.0966723,3.601763,1.1611661,0.32939768,177.70868,-17692.078,-17688.012
4111834567779557376,8013174454512009251,3821.0913,7512.886,3.0071428,3.9863358,1.0406036,0.4985894,183.13812,-19143.236,-19138.705
4111834567779557376,8013174454512009251,3808.1099,7416.996,2.9950147,3.92739,0.94540215,0.43019447,181.49948,-19063.111,-19059.441
4111834567779557376,8013174454512009251,3822.367,7308.928,3.0758064,3.8936534,1.0422994,0.48905575,177.06528,-20063.992,-20059.88
4111834567779557376,8013174454512009251,3863.217,6989.271,3.0662916,4.1486115,0.85357726,0.089192085,195.18953,-16257.378,-16257.359
4111834567779557376,8013174454512009251,3838.7673,7593.7734,2.999303,3.702361,1.1905731,0.4822562,190.70555,-17845.541,-17840.77
