source_id,transit_id,band,time,mag,flux,flux_error,flux_over_error,rejected_by_photometry,rejected_by_variability,other_flags,solution_id
4111834567779557376,60416038101345784,G,2489.4330494241553,7.116635836393058,2.680972827318102E7,20817.80090183503,1287.8271,false,false,8193,375316653866487564
4111834567779557376,60420130346562999,G,2489.5070503469533,7.051694661049417,2.8462227286017627E7,15432.685123132711,1844.2822,false,false,8193,375316653866487564
4111834567779557376,60429871072695762,G,2489.683215035108,6.892331054832358,3.2962058429465774E7,29238.982211417017,1127.3326,false,false,5,375316653866487564
4111834567779557376,60433963339933200,G,2489.757195300843,6.837494806369758,3.4669599461566575E7,33249.01119009379,1042.7257,false,false,12289,375316653866487564
4111834567779557376,60443704121378675,G,2489.9333118295826,6.778926844553407,3.659114579861998E7,40528.8948409987,902.84094,false,false,4206593,375316653866487564
4111834567779557376,60447796413120595,G,2490.0073136439105,6.779285575185597,3.657905796683333E7,39527.49018832235,925.4081,false,false,4206593,375316653866487564
4111834567779557376,60457537262461678,G,2490.1834876890484,6.813113620683225,3.545694376290595E7,20529.302668093256,1727.1382,false,false,8193,375316653866487564
4111834567779557376,60461629581997112,G,2490.2574900476507,6.834131815909579,3.477715255631453E7,29379.1809568789,1183.7346,false,false,12289,375316653866487564
4111834567779557376,60475462863327719,G,2490.507640427105,6.903012418955722,3.2639370883911297E7,20443.095124077943,1596.5963,false,false,8193,375316653866487564
4111834567779557376,65590055773816259,G,2583.0027775419358,7.105186040180399,2.709395035815339E7,30838.278277466812,878.5818,false,false,4206593,375316653866487564
4111834567779557376,65594148036080839,G,2583.0768177994873,7.038579378957834,2.880812516216631E7,22932.39013975447,1256.22,false,false,8193,375316653866487564
4111834567779557376,66395266946176426,G,2597.5658621831144,7.1927996598218265,2.499348880477836E7,22153.401384380562,1128.2009,false,false,8193,375316653866487564
4111834567779557376,68260269477487654,G,2631.296803413017,7.329236758116906,2.204205306400373E7,19475.515101393576,1131.7828,false,false,8193,375316653866487564
4111834567779557376,17443071633056607,BP,1712.2933901788278,7.763403407429919,1.0716563047712114E7,19064.419250545572,562.1238,false,false,0,375316653866487564
4111834567779557376,19298753982108309,BP,1745.84926752266,7.221992934307387,1.7644920769344155E7,19067.517370197264,925.3916,false,false,0,375316653866487564
4111834567779557376,26724440341754483,BP,1880.1407351433716,7.2503496236360405,1.7190045921555225E7,19204.363107607158,895.1115,false,false,0,375316653866487564
4111834567779557376,28437700474441979,BP,1911.1272652309933,7.853419749760253,9863907.39683469,12742.121024669219,774.11816,false,false,0,375316653866487564
4111834567779557376,29502288609293845,BP,1930.3815217590825,7.689027567397698,1.1476404824310785E7,12581.131655006611,912.1918,false,false,0,375316653866487564
4111834567779557376,29506380911141698,BP,1930.4555345258652,7.694209762759815,1.1421758709043812E7,14126.426349353258,808.53845,false,false,0,375316653866487564
4111834567779557376,39087248569963009,BP,2103.7147555214015,7.2001491600694045,1.800351157609993E7,19459.325334532965,925.1868,false,false,0,375316653866487564
4111834567779557376,39096989405439781,BP,2103.890897388417,7.257915199614569,1.707067941673778E7,25336.004146394785,673.77155,false,false,0,375316653866487564
4111834567779557376,39968131156440891,BP,2119.6437248590464,7.213030387632344,1.779117908423865E7,28159.471942565982,631.8009,false,false,0,375316653866487564
4111834567779557376,39972223407940574,BP,2119.7177251026997,7.178346328672486,1.836869719118561E7,17834.224102866057,1029.969,false,false,0,375316653866487564
4111834567779557376,49525670254794059,BP,2292.493916427313,7.715807463060024,1.1196799491900574E7,10749.895566903355,1041.5729,false,false,0,375316653866487564
4111834567779557376,50106567363437211,BP,2302.999970033147,7.191760823653027,1.8143144389772948E7,16776.222002858776,1081.4797,false,false,0,375316653866487564
