solution_id,source_id,teff,azero,logg,mh,ag,mg,distancepc,abp,arp,ebpminrp,log_pos,log_lik,radius
8013174454444875809,4111834567779557376,5774.307,0.9579489,1.7302194,-0.50915205,0.78081775,-3.7881281,1054.2943,0.9916841,0.5699119,0.42177218,-739.7301,-593.85565,50.911144
8013174454444875809,4111834567779557376,5893.41,1.0464079,1.7330843,-0.5859844,0.85688585,-3.8818264,1056.2773,1.0870152,0.62276983,0.46424532,-741.5018,-578.6215,50.62986
8013174454444875809,4111834567779557376,5905.7207,1.0570747,1.7389238,-0.5831446,0.8658823,-3.8808548,1049.6298,1.0983132,0.6291383,0.46917492,-740.8838,-577.25714,50.287663
8013174454444875809,4111834567779557376,5851.908,1.0102509,1.7248411,-0.595402,0.8264546,-3.875374,1063.7411,1.0487676,0.6011959,0.4475717,-737.71155,-578.0162,51.080265
8013174454444875809,4111834567779557376,5817.3887,0.9628734,1.7484988,-0.47913602,0.78611964,-3.7666292,1044.7146,0.9975136,0.57308227,0.42443132,-744.1067,-598.3062,49.91114
8013174454444875809,4111834567779557376,5896.2837,1.0473051,1.7349024,-0.5951019,0.85780823,-3.8933337,1052.8304,1.088147,0.62331295,0.4648341,-737.98175,-575.3204,50.4442
8013174454444875809,4111834567779557376,5883.557,1.0342816,1.7325717,-0.589917,0.846875,-3.8909998,1055.9497,1.0743386,0.6155598,0.45877874,-738.08044,-576.5483,50.579647
8013174454444875809,4111834567779557376,5832.373,0.9904369,1.7184865,-0.58669764,0.8098219,-3.8691201,1072.2954,1.0277598,0.58939826,0.43836153,-741.9803,-583.75806,51.484398
8013174454444875809,4111834567779557376,5852.901,1.0149783,1.7250123,-0.5923469,0.8301921,-3.874168,1062.7056,1.0535785,0.6039868,0.4495917,-738.4734,-578.3378,51.082397
8013174454444875809,4111834567779557376,5843.3403,1.0069461,1.7229388,-0.5939065,0.8234243,-3.8729923,1064.4766,1.0450733,0.5991943,0.44587898,-737.9531,-578.52155,51.19694
8013174454444875809,4111834567779557376,5896.025,1.0410272,1.7444308,-0.559826,0.85255295,-3.8628235,1045.9364,1.0813164,0.619636,0.46168035,-738.95123,-576.8839,49.96907
8013174454444875809,4111834567779557376,5886.2837,1.0293105,1.7543178,-0.522469,0.84252584,-3.8207476,1037.4568,1.0685716,0.612693,0.45587856,-740.39374,-578.83966,49.472687
8013174454444875809,4111834567779557376,5873.321,1.0389354,1.7284261,-0.5971188,0.8500813,-3.892974,1056.1875,1.0787845,0.61822546,0.460559,-739.59106,-577.598,50.825066
8013174454444875809,4111834567779557376,5887.027,1.0101311,1.8013791,-0.37647748,0.82441795,-3.6822634,985.38586,1.0454546,0.6013153,0.4441393,-765.2947,-611.9325,47.077427
8013174454444875809,4111834567779557376,5868.035,1.0219961,1.7281619,-0.5922641,0.83645844,-3.8774657,1061.5312,1.0612789,0.60821986,0.45305908,-738.81775,-578.0774,50.90043
8013174454444875809,4111834567779557376,5790.443,0.96588296,1.7109858,-0.5818547,0.78839624,-3.8558254,1075.8634,1.001172,0.57465136,0.4265206,-743.0314,-585.7815,51.931057
8013174454444875809,4111834567779557376,5855.3594,1.0149593,1.7281172,-0.5845395,0.83023196,-3.873663,1060.1226,1.0535555,0.603997,0.4495585,-738.3584,-578.3513,50.907455
8013174454444875809,4111834567779557376,5907.8965,1.0500007,1.7402662,-0.5798221,0.86039335,-3.87925,1051.0431,1.0911424,0.6249887,0.46615374,-740.07007,-577.06506,50.213303
8013174454444875809,4111834567779557376,5884.513,1.0268931,1.7368073,-0.57176477,0.8409584,-3.8701038,1055.5667,1.0666302,0.6112268,0.45540345,-740.5685,-579.5416,50.410027
8013174454444875809,4111834567779557376,5880.1665,1.0383857,1.7310429,-0.59910786,0.85000825,-3.883733,1055.7133,1.0785041,0.6179479,0.4605562,-737.58057,-575.5628,50.691936
8013174454444875809,4111834567779557376,5905.3994,1.0439135,1.7602506,-0.5188204,0.85495156,-3.8224847,1031.8268,1.0841202,0.62142557,0.4626946,-740.00494,-577.34656,49.134544
8013174454444875809,4111834567779557376,5910.0635,1.0571233,1.7511079,-0.54947114,0.86585426,-3.852261,1037.9717,1.098121,0.6292182,0.46890283,-740.35144,-576.8851,49.609787
8013174454444875809,4111834567779557376,5811.282,0.9767308,1.7163204,-0.58426857,0.7979497,-3.8613431,1072.5486,1.0129887,0.5811809,0.43180782,-741.00073,-583.5399,51.608444
8013174454444875809,4111834567779557376,5914.046,1.0659395,1.7382747,-0.59347916,0.87338,-3.8881912,1049.3906,1.1077862,0.63440984,0.47337633,-741.7442,-577.3213,50.31359
8013174454444875809,4111834567779557376,5944.1313,1.079686,1.747613,-0.57563543,0.88563025,-3.8849993,1043.6002,1.1227266,0.64272666,0.4799999,-744.138,-578.58844,49.8055
8013174454444875809,4111834567779557376,5868.57,1.0157881,1.7297999,-0.58888024,0.8315755,-3.8763762,1061.7947,1.0549366,0.6045709,0.45036572,-739.4097,-579.26874,50.806137
8013174454444875809,4111834567779557376,5901.174,1.0426784,1.744591,-0.5625186,0.8541365,-3.8646183,1046.7245,1.0832239,0.62064177,0.46258217,-739.23846,-576.9919,49.961456
8013174454444875809,4111834567779557376,5884.817,1.0381912,1.735754,-0.5811251,0.84993804,-3.8770466,1053.1217,1.0782626,0.61787605,0.4603865,-738.82367,-576.8761,50.46931
8013174454444875809,4111834567779557376,5804.013,0.96889037,1.7125707,-0.59786904,0.7915246,-3.8671985,1075.8037,1.0048968,0.5765042,0.4283926,-739.925,-582.93475,51.77742
8013174454444875809,4111834567779557376,5921.599,1.0653447,1.7415035,-0.5967522,0.87332016,-3.8908288,1047.3953,1.1074988,0.6341095,0.47338927,-738.9566,-574.72626,50.10863
8013174454444875809,4111834567779557376,5843.077,1.0040485,1.7236328,-0.58329237,0.82105035,-3.8678548,1065.1968,1.0419878,0.5974932,0.4444946,-739.9956,-580.74646,51.17952
8013174454444875809,4111834567779557376,5951.386,1.0893927,1.7505734,-0.5754235,0.89366484,-3.8850822,1038.8793,1.1329057,0.6484968,0.48440892,-744.9531,-578.66754,49.62696
8013174454444875809,4111834567779557376,5925.9697,1.0631794,1.7462224,-0.5800058,0.87169945,-3.887589,1044.877,1.1052539,0.6328746,0.47237933,-739.6995,-575.7815,49.86562
8013174454444875809,4111834567779557376,5922.8022,1.0626602,1.7429326,-0.59205437,0.87122643,-3.8927464,1046.6135,1.1047491,0.63253945,0.47220963,-738.58203,-574.684,50.00577
8013174454444875809,4111834567779557376,5868.473,1.0232074,1.7313111,-0.5856399,0.8373737,-3.8784666,1057.4081,1.0624489,0.6089402,0.45350868,-737.8308,-577.19385,50.701763
8013174454444875809,4111834567779557376,5890.1885,1.0416849,1.7374133,-0.58006793,0.8529485,-3.8783529,1051.7391,1.0820103,0.6199706,0.46203965,-738.7879,-576.5756,50.37401
8013174454444875809,4111834567779557376,5830.3115,1.007202,1.7168789,-0.59584826,0.82300156,-3.872427,1067.6567,1.0448804,0.59925634,0.44562405,-741.3109,-581.68146,51.564842
8013174454444875809,4111834567779557376,5886.675,1.03412,1.7430253,-0.55781305,0.8466297,-3.8594077,1046.959,1.0739053,0.61550575,0.4583996,-738.86926,-577.39105,50.04903
8013174454444875809,4111834567779557376,5874.6265,1.0302042,1.7300916,-0.5850094,0.8431818,-3.8759122,1059.1609,1.0697943,0.61310107,0.45669323,-740.1803,-578.71295,50.801285
8013174454444875809,4111834567779557376,5862.838,1.0186892,1.7395461,-0.5408717,0.8331673,-3.8598757,1049.0486,1.0571035,0.6062689,0.45083463,-741.30835,-581.2889,50.25373
8013174454444875809,4111834567779557376,5854.183,1.0188186,1.72363,-0.5940371,0.8332886,-3.875937,1063.581,1.0575547,0.60625476,0.45129997,-739.5508,-579.0056,51.166847
8013174454444875809,4111834567779557376,5913.0493,1.0483972,1.7533431,-0.54207975,0.85907376,-3.8528972,1039.3351,1.0892509,0.62410325,0.46514767,-740.4066,-577.76355,49.491295
8013174454444875809,4111834567779557376,5911.3677,1.0525293,1.7556555,-0.5264067,0.8621143,-3.833788,1037.012,1.0932139,0.6265355,0.46667844,-742.7926,-579.4037,49.44133
8013174454444875809,4111834567779557376,5956.904,1.0937124,1.749577,-0.59837997,0.89753807,-3.902194,1037.7489,1.1377922,0.651066,0.48672622,-741.8882,-575.4079,49.611805
8013174454444875809,4111834567779557376,5821.318,0.9932752,1.7172675,-0.59305716,0.811572,-3.874209,1067.5793,1.0303329,0.5909955,0.43933743,-738.1563,-579.962,51.481884
8013174454444875809,4111834567779557376,5886.287,1.0358922,1.7461753,-0.549916,0.84793514,-3.8500783,1042.9404,1.0756013,0.61655176,0.45904958,-738.58453,-576.9638,49.874737
8013174454444875809,4111834567779557376,5941.971,1.070932,1.7519178,-0.5679604,0.87854123,-3.8768754,1040.7671,1.1136202,0.6375595,0.4760607,-741.8638,-577.2442,49.54592
8013174454444875809,4111834567779557376,5797.8384,0.9702778,1.7373164,-0.5054346,0.7915513,-3.791895,1049.6943,1.0049897,0.57733536,0.4276544,-737.1239,-589.73175,50.497982
8013174454444875809,4111834567779557376,5833.129,1.004411,1.7198038,-0.5950533,0.82094115,-3.8707848,1065.7758,1.0421352,0.5976335,0.44450176,-738.76196,-579.48865,51.38351
8013174454444875809,4111834567779557376,5904.946,1.0458838,1.7522686,-0.5384128,0.85664886,-3.8500102,1039.2427,1.0863435,0.62257016,0.46377337,-740.12866,-577.68805,49.559334
8013174454444875809,4111834567779557376,5888.527,1.0305519,1.7472852,-0.5420641,0.8437839,-3.8526506,1044.4542,1.0701529,0.6134269,0.45672596,-740.0645,-578.95526,49.825832
8013174454444875809,4111834567779557376,5901.977,1.0335151,1.7571175,-0.5249611,0.8466443,-3.8267322,1037.5758,1.0734718,0.61527413,0.45819765,-741.27734,-579.54584,49.31651
8013174454444875809,4111834567779557376,5783.171,0.9581473,1.7305912,-0.5186953,0.7814474,-3.7964604,1055.4397,0.9922981,0.57008135,0.42221677,-737.78503,-590.57275,50.84044
8013174454444875809,4111834567779557376,5965.593,1.1004516,1.7561611,-0.5690674,0.9030878,-3.882403,1033.1678,1.1446617,0.65511733,0.48954433,-746.5696,-579.42957,49.315845
8013174454444875809,4111834567779557376,5843.911,1.0073385,1.7246978,-0.5874662,0.82370585,-3.87198,1062.7872,1.0454158,0.59943295,0.4459828,-738.2886,-578.89056,51.10287
8013174454444875809,4111834567779557376,5925.332,1.0607562,1.7494013,-0.56455237,0.8696307,-3.8745866,1042.2245,1.1025764,0.6314527,0.4711237,-740.47723,-576.7802,49.6831
8013174454444875809,4111834567779557376,5876.6167,1.0351708,1.7439775,-0.54419434,0.8468344,-3.8442109,1043.523,1.0744344,0.61606425,0.45837015,-741.11584,-579.4134,50.02807
8013174454444875809,4111834567779557376,5911.631,1.0481442,1.7420418,-0.58113736,0.85912895,-3.881605,1050.4714,1.0894029,0.62391996,0.46548295,-739.71094,-576.9523,50.10671
8013174454444875809,4111834567779557376,5907.3,1.0421798,1.7512882,-0.5499755,0.85394657,-3.8560677,1041.1637,1.0827936,0.6203977,0.4623959,-739.07544,-577.0242,49.57898
8013174454444875809,4111834567779557376,5824.9688,1.011467,1.7213569,-0.5824004,0.8259616,-3.8675067,1059.7169,1.0488567,0.6017384,0.44711834,-744.29456,-584.57385,51.30449
8013174454444875809,4111834567779557376,5924.662,1.0682151,1.7573297,-0.5390214,0.8752617,-3.8475337,1032.6587,1.1098549,0.63585883,0.4739961,-742.0976,-577.69006,49.29683
