ra,dec,magnitude,parallax
227.12159406949843,-49.45003162324131,17.202728,0.43540847829380336
227.1299394459302,-49.449274786345036,18.906246,-0.16727057079129443
227.11862866360906,-49.44105472160376,19.471298,0.19760499745973897
227.12137394769505,-49.451275808817044,19.921726,0.1957807855063715
227.1205300153509,-49.44972422551894,19.444252,0.28643397139233673
230.11556860453175,-48.71151055430826,17.021275,0.4082918725545708
230.10349672797662,-48.71492504112379,19.204735,0.4651449702543368
227.1186710502564,-49.44499074519333,19.261883,0.6133827169815333
230.11177536544838,-48.723055266177475,19.99545,
230.11354961869174,-48.71823410192739,16.295677,0.4410428404848642
254.6671771382694,-21.907864484464145,19.891127,0.11687653171236903
254.66346087254473,-21.905295679385702,18.258419,0.40984122542780554
254.66330322001193,-21.922523491379856,19.551254,-0.2769866431754651
254.66585439532125,-21.917485660294385,19.446335,0.6829447196712436
254.6603584506572,-21.92033714334657,18.398098,0.3552765790891371
254.66527285697526,-21.9145353606421,19.402842,0.4190943003030471
254.66646763316857,-21.912789314745314,18.406393,0.24238038675754436
254.6661240735536,-21.909679056027972,18.297626,0.3412275213053719
254.66745980905463,-21.908435048546583,19.25275,-0.2908981692313567
289.03152809773644,72.35969365660611,18.927568,3.258506201717497
254.66456903025605,-21.907337854449292,19.369034,0.34432909395972033
254.6606637870277,-21.9077351704059,19.919785,0.2275245455391943
228.43292065123376,-48.99338745902114,15.2456875,0.05323482173332311
228.43311150634838,-48.990372222111176,19.529331,0.16377885326383534
228.43191153428234,-48.98977758511402,15.476586,0.5505729223386087
228.42759963949734,-48.99039642404543,16.734291,0.43697202182564737
228.4432276743959,-48.983767514899206,16.22925,0.21952565040295297
228.43295124656055,-48.98641100413791,16.533844,0.5045155872797011
228.42988098860297,-48.98633775546476,17.97704,0.2828372021422085
228.4229034720774,-48.98726454143883,19.91623,-0.5867568235881601
228.41936882497058,-48.98304640580096,17.071466,0.23399360231284821
228.4314042501605,-48.976679702482784,14.060325,0.3585177369947887
265.260335018441,-59.9162357564797,17.005383,0.5906841702036223
265.246565924309,-59.918483093794954,17.805786,0.3889553688740911
265.23855702519523,-59.91592857657162,15.942402,1.5722621878985632
265.26008102212353,-59.911597727809045,19.762917,0.42610827814774455
265.26532323970787,-59.90979967606456,19.019567,0.41425385089434325
265.2611342710676,-59.90866690363686,19.421741,0.507369458417873
265.2608649987395,-59.907286561371116,18.980555,0.6458443063798559
265.2542171794128,-59.90504003537272,17.136545,0.2630127617032633
227.12362346550245,-49.44141731413363,19.401731,0.12050087230900142
265.26521856044883,-59.904248557254775,19.536247,0.4212186874396786
227.1157580481567,-49.44203433377897,19.812246,0.22449379762207586
265.2516576206742,-59.903244580822424,18.788294,1.012151478140614
227.12187883747146,-49.43984122642454,18.969206,0.37112341837062435
228.49134001989225,-49.01001670177314,19.039482,-0.48110051889734057
228.4892779302604,-49.00978930860958,18.459421,0.4611612528277463
228.48252295618533,-49.00391371486051,19.518187,5.28656700333941
228.4774153516587,-49.008537569661165,19.052341,0.48514667489878965
265.23486243118356,-59.89314842174284,18.496307,-0.10765564644975027
227.12488118611483,-49.43872610132759,19.839527,0.13265395627282695
265.2625245868822,-59.90398907081834,19.56107,0.5238816184890341
262.4871092815446,-59.99030063037109,18.70598,-0.08597782458765833
262.5001375267093,-59.99260882064513,19.17483,0.2766425210879152
262.4925019679599,-59.995366082298055,18.982573,0.15480973304444723
262.4939212235232,-59.99773129248262,18.650345,0.38382774632008465
262.5141165177573,-59.998447487804654,16.475584,0.26828511871112687
262.51087799075884,-59.99248124244149,15.6194725,0.11602144426268815
230.1155026237328,-48.71698062311319,19.409616,-0.19453685920785438
262.51306540406364,-59.98889008611197,19.768118,0.10588591921209323
230.105486927489,-48.717548958702984,18.726122,-0.10929245754927283
230.11563403625541,-48.712756834721326,18.79695,1.2331950228172146
262.51114142710964,-59.98586994481969,19.87558,1.1073053219159346
