designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 2249336156021217536,2249336156021217536,295.8609061210807,68.21733327759105,,,,,20.783045,2.6120892,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336156022086016,2249336156022086016,295.8365431275946,68.21420594698033,0.8145454383202697,-10.161669514354394,-15.855198828268765,1.0820233,16.440807,1.2127609,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4949.442,4.6158,-0.3331,946.8911,0.3175,0.2505,0.133
Gaia DR3 2249336186085719040,2249336186085719040,295.8624038471359,68.2190201341364,1.3871702350406516,-0.5057538572175609,-0.11193216260431907,1.1080103,19.991407,2.1728077,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336186085721856,2249336186085721856,295.8560895506112,68.22124782054492,2.0229686138908165,0.7352688704550783,29.225558807224942,1.0652765,18.058863,2.4925957,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3470.476,4.5437,-0.5453,503.2244,0.656,0.4332,0.2691
Gaia DR3 2249336186085728000,2249336186085728000,295.8684930322872,68.22687854505205,0.30069545502626716,0.9281705785101271,4.543336259519353,1.0374801,17.690157,1.0295315,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4953.381,4.7743,-1.4554,1433.7924,0.012,0.0096,0.0052
Gaia DR3 2249336190380691328,2249336190380691328,295.86705137521557,68.21839254867976,2.215491744413087,5.205402927409424,11.575165937419042,0.98717725,20.508556,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336190381826560,2249336190381826560,295.86817479800607,68.21812358217402,0.4097931623773337,0.43069272666836245,-9.302652868289048,0.9822525,16.731535,0.93855286,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5298.408,4.384,-2.0179,1934.763,0.0054,0.0045,0.0025
Gaia DR3 2249336220445467392,2249336220445467392,295.9052798046916,68.22954344967627,0.9511911380984789,-0.8359872842155496,10.848038311158808,1.0377109,19.151493,2.4704971,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336254805214208,2249336254805214208,295.91674848153343,68.23794023626043,1.6350917778187166,-2.90605540276999,-3.398582087651234,1.0282797,19.028383,2.770321,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336254805217280,2249336254805217280,295.9200441870453,68.24168478205276,0.6584529326388622,-5.629921147263623,-0.43579712953863753,1.008124,20.04447,1.8967094,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
