source_id,x,y,z,phot_g_mean_mag,bp_rp
1945662756804232832,3527.2672866729717,-2357.0722372128917,2534.3343386385372,17.79306,1.0419922
1945662756804233472,1013.165420573728,-676.787026592075,727.9164024540448,18.636919,2.0921001
1945662756804236672,3388.5836755686264,-2264.4613072324228,2435.281179129528,18.379597,1.1152802
1945662756806504192,2567.5884408808365,-1715.6360043266084,1844.6526086846088,17.063356,0.980608
1945662761099990912,930.5205896618347,-621.7372617915655,668.5160352726248,17.180916,1.3211803
1945662761099993856,571.1632986567278,-381.62244139580207,410.44642730396527,19.448301,0.9787178
5890399315479069696,685.2631759402019,892.755826587196,1311.331413634255,18.915833,1.7095985
5890399315479826304,-650.9329836276212,-847.820603821003,-1246.0069391608317,18.623442,1.5782242
5890399315479831168,-1672.255247809061,-2179.2117363318953,-3201.553200397579,18.81297,1.7244167
5890399315481118592,-595.3078959886399,-775.527255599062,-1139.5766420833106,17.998907,1.8821487
5890399315482074880,-821.5512639958968,-1070.0816329121371,-1572.6991005777907,18.144138,1.620594
5890399315482077696,-11571.897632265887,-15083.150703677273,-22159.75758993819,18.600813,1.8962307
5890399315482081152,-1298.2405564960864,-1691.1188403965955,-2484.786548843085,18.948273,1.538126
5890399315482081920,-794.8600088947668,-1035.735993283673,-1521.5968909587639,18.123598,1.5543308
5890399315482082432,-720.5421050397517,-938.8112580104234,-1379.2410303108747,18.578035,1.7489929
5890399315482945792,-717.7770315960042,-935.3150237902148,-1374.7510169755205,19.272482,2.2710247
5890399315482946176,1766.7427276788624,2302.4115814836414,3383.0900588612426,19.258677,1.9850903
5890399319806592000,13489.08848818527,17575.522069392002,25832.772520017323,19.739202,1.7087498
5890399319806598912,-86131.0909023418,-112225.88954532397,-164936.48411869997,19.404495,2.0080853
5890603485370806144,-2317.792157352983,-2976.7259579684205,-4373.67948103435,18.427725,1.7837315
5890603485370807552,-3096.1572843236763,-3976.146901471619,-5841.690282352666,17.767046,1.5702686
5890603485370807680,-446.8993924034846,-573.802695528388,-843.1333727762274,16.76631,1.7279997
5890603485376358400,-256540.42875101406,-329422.6825468642,-483952.8362645168,18.304344,1.5443707
5890603485376359680,-799.1514217411031,-1026.4279819293563,-1507.4887390565902,18.021284,1.5729485
5890603515404505600,-1347.9172065831262,-1729.4288540891523,-2541.8678167321796,19.096514,1.6343098
5890603515404508672,-3910.5040630518206,-5018.903669733526,-7375.13049590844,19.330383,2.0409203
5890603515404517632,-1118.7941450593491,-1435.4731094789197,-2108.9097556532465,18.574787,1.589447
5890603515404749568,-1949.0708836576678,-2500.88127324089,-3675.227678317502,19.134184,1.5138111
5890603515405875584,-703.6138271221323,-902.7370273931061,-1326.7408745914433,18.294062,1.6102314
5890603515405875840,1421.9291694783578,1824.9273778381398,2681.540077524523,18.758125,1.5414639
5890603519702172032,-747.4387568795156,-959.1729632955978,-1409.72729620015,17.387161,
5890603519702175616,-760.9024788394653,-976.5350333689058,-1435.1012188611942,18.97738,1.5981483
